Date,Price,Open,High,Low,Change %
"May 01, 2026",6.996,7.01,7.11,6.92,-0.31%
"Apr 01, 2026",7.018,6.95,7.12,6.86,0.82%
"Mar 01, 2026",6.961,6.67,6.95,6.63,4.50%
"Feb 01, 2026",6.661,6.76,6.76,6.64,-0.51%
"Jan 01, 2026",6.695,6.57,6.71,6.57,1.62%
"Dec 01, 2025",6.588,6.57,6.66,6.49,0.92%
"Nov 01, 2025",6.528,6.52,6.55,6.48,-0.02%
"Oct 01, 2025",6.529,6.52,6.57,6.48,-0.64%
"Sep 01, 2025",6.571,6.58,6.58,6.45,-0.26%
"Aug 01, 2025",6.588,6.36,6.61,6.31,3.32%
"Jul 01, 2025",6.376,6.29,6.37,6.28,0.95%
"Jun 01, 2025",6.316,6.22,6.31,6.18,1.71%
"May 01, 2025",6.21,6.35,6.39,6.16,-2.24%
"Apr 01, 2025",6.352,6.57,6.57,6.31,-3.32%
"Mar 01, 2025",6.57,6.73,6.74,6.57,-2.23%
"Feb 01, 2025",6.72,6.66,6.72,6.65,0.45%
"Jan 01, 2025",6.69,6.78,6.84,6.67,-1.04%
"Dec 01, 2024",6.76,6.802,6.807,6.668,0.13%
"Nov 01, 2024",6.751,6.831,6.863,6.739,-1.32%
"Oct 01, 2024",6.841,6.759,6.875,6.73,1.35%
"Sep 01, 2024",6.75,6.877,6.885,6.706,-1.65%
"Aug 01, 2024",6.863,6.912,6.919,6.843,-0.88%
"Jul 01, 2024",6.924,7.023,7.024,6.91,-1.20%
"Jun 01, 2024",7.008,6.955,7.062,6.945,0.31%
"May 01, 2024",6.986,7.17,7.173,6.967,-2.90%
"Apr 01, 2024",7.195,7.085,7.242,7.075,2.03%
"Mar 01, 2024",7.052,7.062,7.103,7.006,-0.37%
"Feb 01, 2024",7.078,7.129,7.14,7.021,-0.92%
"Jan 01, 2024",7.144,7.207,7.239,7.134,-0.45%
"Dec 01, 2023",7.176,7.293,7.298,7.147,-1.42%
"Nov 01, 2023",7.279,7.376,7.376,7.194,-0.98%
"Oct 01, 2023",7.351,7.239,7.395,7.205,1.96%
"Sep 01, 2023",7.21,7.174,7.241,7.086,0.61%
"Aug 01, 2023",7.166,7.186,7.256,7.147,-0.08%
"Jul 01, 2023",7.172,7.113,7.185,7.047,0.87%
"Jun 01, 2023",7.11,7.019,7.117,6.963,1.73%
"May 01, 2023",6.989,7.135,7.138,6.947,-1.78%
"Apr 01, 2023",7.116,7.37,7.37,7.077,-2.72%
"Mar 01, 2023",7.315,7.468,7.473,7.28,-1.90%
"Feb 01, 2023",7.457,7.416,7.465,7.245,1.55%
"Jan 01, 2023",7.343,7.346,7.407,7.266,0.22%
"Dec 01, 2022",7.327,7.255,7.344,7.181,0.65%
"Nov 01, 2022",7.28,7.435,7.497,7.235,-2.22%
"Oct 01, 2022",7.445,7.403,7.541,7.361,0.64%
"Sep 01, 2022",7.398,7.23,7.423,7.106,2.92%
"Aug 01, 2022",7.188,7.357,7.366,7.11,-1.80%
"Jul 01, 2022",7.32,7.427,7.475,7.255,-1.74%
"Jun 01, 2022",7.45,7.437,7.617,7.365,0.47%
"May 01, 2022",7.415,7.138,7.491,7.116,3.87%
"Apr 01, 2022",7.139,6.951,7.285,6.891,4.33%
"Mar 01, 2022",6.843,6.799,6.919,6.773,1.08%
"Feb 01, 2022",6.77,6.728,6.955,6.615,1.29%
"Jan 01, 2022",6.684,6.463,6.802,6.455,3.56%
"Dec 01, 2021",6.454,6.36,6.497,6.34,2.02%
"Nov 01, 2021",6.326,6.391,6.393,6.287,-0.97%
"Oct 01, 2021",6.388,6.23,6.429,6.226,2.65%
"Sep 01, 2021",6.223,6.235,6.235,6.116,0.13%
"Aug 01, 2021",6.215,6.204,6.284,6.188,0.18%
"Jul 01, 2021",6.204,6.082,6.277,6.035,2.53%
"Jun 01, 2021",6.051,6.032,6.089,5.984,0.48%
"May 01, 2021",6.022,6.029,6.048,5.958,-0.13%
"Apr 01, 2021",6.03,6.202,6.202,5.99,-2.38%
"Mar 01, 2021",6.177,6.236,6.274,6.114,-0.83%
"Feb 01, 2021",6.229,5.917,6.242,5.888,4.71%
"Jan 01, 2021",5.949,5.905,5.988,5.839,0.93%
"Dec 01, 2020",5.894,5.919,5.981,5.887,-0.29%
"Nov 01, 2020",5.911,5.89,5.936,5.837,0.51%
"Oct 01, 2020",5.881,5.965,6.042,5.791,-2.23%
"Sep 01, 2020",6.015,5.949,6.109,5.878,-1.04%
"Aug 01, 2020",6.078,5.846,6.231,5.808,4.13%
"Jul 01, 2020",5.837,5.907,5.907,5.747,-0.87%
"Jun 01, 2020",5.888,6.055,6.089,5.755,-2.08%
"May 01, 2020",6.013,6.138,6.25,5.879,-1.59%
"Apr 01, 2020",6.11,6.287,6.504,6.015,-0.46%
"Mar 01, 2020",6.138,6.343,6.449,5.995,-3.66%
"Feb 01, 2020",6.371,6.509,6.52,6.326,-3.46%
"Jan 01, 2020",6.599,6.548,6.692,6.485,0.69%
"Dec 01, 2019",6.554,6.463,6.837,6.448,1.46%
"Nov 01, 2019",6.46,6.431,6.574,6.415,-2.75%
"Oct 01, 2019",6.643,6.68,6.739,6.582,-0.78%
"Sep 01, 2019",6.695,6.498,6.874,6.488,2.12%
"Aug 01, 2019",6.556,6.394,6.639,6.296,2.94%
"Jul 01, 2019",6.369,6.906,6.93,6.266,-7.41%
"Jun 01, 2019",6.879,6.949,7.097,6.734,-2.18%
"May 01, 2019",7.032,7.411,7.426,7.03,-5.15%
"Apr 01, 2019",7.414,7.356,7.497,7.229,0.93%
"Mar 01, 2019",7.346,7.588,7.59,7.301,-3.23%
"Feb 01, 2019",7.591,7.47,7.699,7.425,1.44%
"Jan 01, 2019",7.483,7.401,7.65,7.35,1.53%
"Dec 01, 2018",7.37,7.646,7.703,7.218,-3.12%
"Nov 01, 2018",7.607,7.831,7.84,7.576,-3.13%
"Oct 01, 2018",7.853,7.923,8.21,7.797,-2.13%
"Sep 01, 2018",8.024,7.94,8.231,7.917,0.92%
"Aug 01, 2018",7.951,7.767,7.958,7.681,2.30%
"Jul 01, 2018",7.772,7.889,7.917,7.723,-1.66%
"Jun 01, 2018",7.903,7.86,8,7.769,0.98%
"May 01, 2018",7.826,7.731,7.945,7.553,0.76%
"Apr 01, 2018",7.767,7.333,7.797,7.123,4.99%
"Mar 01, 2018",7.398,7.726,7.8,7.286,-4.25%
"Feb 01, 2018",7.726,7.446,7.816,7.399,3.98%
"Jan 01, 2018",7.43,7.349,7.587,7.243,1.42%
